Entity,Code,Year,Renewables (TWh - equivalent)
Australia,AUS,1966,22.6258
Australia,AUS,1967,23.41597
Australia,AUS,1968,24.409746
Australia,AUS,1969,26.575861
Australia,AUS,1970,30.907776
Australia,AUS,1971,34.866932
Australia,AUS,1972,35.056843
Australia,AUS,1973,37.40806
Australia,AUS,1974,42.394485
Australia,AUS,1975,45.584053
Australia,AUS,1976,43.397835
Australia,AUS,1977,41.41877
Australia,AUS,1978,44.68769
Australia,AUS,1979,43.459774
Australia,AUS,1980,41.04958
Australia,AUS,1981,42.29228
Australia,AUS,1982,39.408916
Australia,AUS,1983,37.225334
Australia,AUS,1984,40.22105
Australia,AUS,1985,42.67758
Australia,AUS,1986,42.94255
Australia,AUS,1987,41.756184
Australia,AUS,1988,44.720295
Australia,AUS,1989,44.73363
Australia,AUS,1990,46.068165
Australia,AUS,1991,48.600132
Australia,AUS,1992,49.313396
Australia,AUS,1993,50.644047
Australia,AUS,1994,50.046448
Australia,AUS,1995,48.939095
Australia,AUS,1996,50.3365
Australia,AUS,1997,50.466797
Australia,AUS,1998,50.323784
Australia,AUS,1999,52.009785
Australia,AUS,2000,52.0652
Australia,AUS,2001,50.915436
Australia,AUS,2002,52.75004
Australia,AUS,2003,54.638195
Australia,AUS,2004,56.691235
Australia,AUS,2005,60.8362
Australia,AUS,2006,62.266647
Australia,AUS,2007,59.896088
Australia,AUS,2008,56.388546
Australia,AUS,2009,59.178158
Australia,AUS,2010,65.073265
Australia,AUS,2011,88.66019
Australia,AUS,2012,87.37708
Australia,AUS,2013,101.30241
Australia,AUS,2014,93.46403
Australia,AUS,2015,100.612686
Australia,AUS,2016,115.454475
Australia,AUS,2017,108.02023
Australia,AUS,2018,134.56378
Australia,AUS,2019,149.09917
Australia,AUS,2020,171.94585
Australia,AUS,2021,205.49954
Austria,AUT,1965,47.55726
Austria,AUT,1966,51.24758
Austria,AUT,1967,52.332794
Austria,AUT,1968,53.772846
Austria,AUT,1969,49.434944
Austria,AUT,1970,62.953415
Austria,AUT,1971,49.736855
Austria,AUT,1972,51.119247
Austria,AUT,1973,56.801395
Austria,AUT,1974,67.15973
Austria,AUT,1975,70.362144
Austria,AUT,1976,60.81226
Austria,AUT,1977,73.69054
Austria,AUT,1978,73.74968
Austria,AUT,1979,83.08193
Austria,AUT,1980,86.07766
Austria,AUT,1981,91.215126
Austria,AUT,1982,91.36002
Austria,AUT,1983,90.502495
Austria,AUT,1984,79.393875
Austria,AUT,1985,94.01306
Austria,AUT,1986,95.49254
Austria,AUT,1987,107.53345
Austria,AUT,1988,107.735916
Austria,AUT,1989,107.26399
Austria,AUT,1990,96.892586
Austria,AUT,1991,96.972786
Austria,AUT,1992,107.380005
Austria,AUT,1993,112.99008
Austria,AUT,1994,109.52749
Austria,AUT,1995,115.67313
Austria,AUT,1996,106.39692
Austria,AUT,1997,112.4435
Austria,AUT,1998,116.06901
Austria,AUT,1999,125.78479
Austria,AUT,2000,128.99107
Austria,AUT,2001,124.920685
Austria,AUT,2002,123.122086
Austria,AUT,2003,103.139915
Austria,AUT,2004,115.47339
Austria,AUT,2005,118.82487
Austria,AUT,2006,120.29236
Austria,AUT,2007,127.58024
Austria,AUT,2008,131.58855
Austria,AUT,2009,139.61539
Austria,AUT,2010,132.76695
Austria,AUT,2011,120.84135
Austria,AUT,2012,148.79189
Austria,AUT,2013,145.05257
Austria,AUT,2014,144.66635
Austria,AUT,2015,138.20767
Austria,AUT,2016,145.64502
Austria,AUT,2017,144.09386
Austria,AUT,2018,140.98167
Austria,AUT,2019,152.49454
Austria,AUT,2020,153.16537
Austria,AUT,2021,154.37439
Azerbaijan,AZE,1985,3.881231
Azerbaijan,AZE,1986,2.3783975
Azerbaijan,AZE,1987,2.3783975
Azerbaijan,AZE,1988,2.0647626
Azerbaijan,AZE,1989,2.0647626
Azerbaijan,AZE,1990,4.902688
Azerbaijan,AZE,1991,5.2022314
Azerbaijan,AZE,1992,5.166747
Azerbaijan,AZE,1993,7.173656
Azerbaijan,AZE,1994,5.41129
Azerbaijan,AZE,1995,4.601075
Azerbaijan,AZE,1996,4.5448923
Azerbaijan,AZE,1997,5.0623655
Azerbaijan,AZE,1998,5.769086
Azerbaijan,AZE,1999,4.453226
Azerbaijan,AZE,2000,4.5360217
Azerbaijan,AZE,2001,3.822062
Azerbaijan,AZE,2002,5.8960457
Azerbaijan,AZE,2003,7.163306
Azerbaijan,AZE,2004,7.938951
Azerbaijan,AZE,2005,8.617157
Azerbaijan,AZE,2006,7.164729
Azerbaijan,AZE,2007,6.684496
Azerbaijan,AZE,2008,6.27205
Azerbaijan,AZE,2009,6.4525576
Azerbaijan,AZE,2010,9.566866
Azerbaijan,AZE,2011,7.3816075
Azerbaijan,AZE,2012,4.9930644
Azerbaijan,AZE,2013,4.2766585
Azerbaijan,AZE,2014,3.8128197
Azerbaijan,AZE,2015,4.7246904
