Code,Year,GDP 2015 PPP,GDP 2022 (2015 USD PPP),GDP 2022 (2017 USD PPP),Multiplier
ABW,1979,0.0,3458629953.8575096,4393369954.478044,1.2702630848316083
AUS,1979,366890335688.264,1586172577281.9646,1328629886582.1914,0.8376326167855622
AUT,1979,226575034253.90585,422235060667.7145,505142751774.37897,1.1963543505258798
AZE,1979,0.0,56692460618.264046,153082546341.84137,2.70022759062471
BHS,1979,6794374150.109361,12415913222.114647,14211478928.315609,1.1446180940603534
BHR,1979,0.0,35915819622.23451,76342224646.34322,2.1255877061784165
BGD,1979,124101062818.97038,305522973769.77783,1072141041304.6641,3.5091994165799116
BRB,1979,3182174990.8312736,4671803289.539002,4342050281.818505,0.9294163329909731
BLR,1979,0.0,57251844490.04911,176183357453.7714,3.0773394119100157
BEL,1979,277703330136.68005,516334013910.15607,622703765727.1161,1.2060095770399288
BLZ,1979,632556018.6901659,2509307581.4663134,3839427623.501786,1.5300745320580498
BEN,1979,7376655918.370257,16765953415.373268,45869379412.79815,2.7358646583581083
BMU,1979,3217174211.3281736,6757261642.8850765,5156616135.794429,0.7631221652078523
BOL,1979,31553861570.366196,38319728331.377884,100778443555.23866,2.629936274175431
BIH,1979,0.0,20253843510.489414,54120255478.634735,2.672098036632207
BWA,1979,3908539060.367786,17511419429.825825,40818645769.76409,2.330972993556473
BRA,1979,1227934472225.045,1901461002548.223,3249826771296.481,1.7091209164643713
BRN,1979,23792203170.472973,13000432684.362951,26342902750.901257,2.026309692183304
BGR,1979,0.0,61747770024.9603,174307363231.7279,2.822893250416455
BFA,1979,6293180010.35649,16610125161.12291,48949444177.88855,2.9469641982263894
BDI,1979,4125849651.523805,3379450965.724945,9128118191.935005,2.7010654347449248
CPV,1979,0.0,2072800252.318005,4376993313.836453,2.1116329510967966
KHM,1979,0.0,24964207155.80371,76023115594.85773,3.045284599682701
CMR,1979,29278750612.585644,40247035778.39087,103940677455.943,2.582567273482288
CAN,1979,722211590555.3364,1761102321572.639,1919103211766.6484,1.0897170415702575
CYM,1979,0.0,5561542246.168983,4902440234.204242,0.8814893454385323
CAF,1979,3187120997.708575,2034662228.5854633,4597115265.385968,2.259399717948257
TCD,1979,3831019772.3181276,10462164584.338987,25037208134.91984,2.3931193141807876
CHL,1979,89892559501.96211,281423471715.4019,507464611471.7903,1.803206421904209
CHN,1979,616825761154.462,16325084918817.193,25684414532114.31,1.573309704656362
COL,1979,188917637486.7077,354949695739.65753,810103779460.959,2.282305884986982
COM,1979,0.0,1140337215.429494,2715974855.8402495,2.3817295613011376
COD,1979,56452642194.044754,52355494607.56282,112144335466.7943,2.1419783407144988
COG,1979,6435256868.879222,10175228552.173552,21912647905.44046,2.153528816879465
CRI,1979,24232750884.374416,69549856034.35025,114345667442.27005,1.6440820148613309
CIV,1979,54207068397.94758,68438760123.05962,155935333630.81125,2.2784652052495424
HRV,1979,0.0,64042742435.41905,132256136091.92622,2.0651229329426957
CUW,1979,0.0,2608023260.7895446,3467150360.5245,1.3294169621304934
CYP,1979,7557432227.320939,27902745979.207535,41068271475.657196,1.4718361951279024
CZE,1979,0.0,215974795467.24942,438115477819.058,2.028549103941595
DNK,1979,163988598367.62598,356222057631.88745,353799230461.08997,0.9931985481558776
DJI,1979,0.0,3307565405.1624985,5592373778.025646,1.6907825221829276
DMA,1979,298077505.8655672,533867403.0042049,833827717.9574826,1.5618629518590688
DOM,1979,32424255369.28811,98050971574.06995,217143110194.39716,2.2145941718727618
ECU,1979,63293246815.19042,100635339955.85878,195476780141.87552,1.9424267879217838
EGY,1979,178746435388.65125,453827104224.60486,1418537854129.6553,3.1257230802759692
SLV,1979,32679644654.780926,27100464996.83414,59536826547.47081,2.1968931733985326
GNQ,1979,0.0,9957665857.354395,24986774542.054,2.5093003621526035
EST,1979,0.0,28518917121.59921,50867209717.32932,1.7836304758852262
SWZ,1979,1538589271.0240443,4822247028.231629,10885427645.900635,2.257335134880562
ETH,1979,0.0,105775519453.14902,293788053498.9423,2.777467366908743
FJI,1979,5459216189.841799,4939873229.038583,11518042114.46601,2.331647307618802
FIN,1979,114243115819.01102,259985498582.81244,273777977547.40417,1.0530509549177738
FRA,1979,1513782901715.7605,2638406985036.3213,3120183016557.4175,1.1826011052326197
GAB,1979,14074127644.94313,15855897831.743963,33302039176.256992,2.10029350148721
GMB,1979,1427825512.4471543,1835641393.187567,5719424859.827765,3.1157637221810845
GEO,1979,53157157136.7009,20190828885.804707,63403374976.88251,3.140206642108619
DEU,1979,2283647295415.737,3633579269920.3105,4522545872199.405,1.2446531467300537
GHA,1979,28569800171.3964,68003830999.542915,183458814081.90674,2.6977717488172077
GRC,1979,229493143795.6199,211538468429.4315,330579477776.2994,1.5627392985809556
GRD,1979,546145344.4043947,1089874059.169431,1814201858.157969,1.664597705482166
GTM,1979,44464907077.55954,78182161579.31055,159033867811.59174,2.034145188608818
GIN,1979,0.0,13782241447.019966,37408147201.042915,2.714228113390903
GNB,1979,1424330730.914746,1309350904.2584872,3906060695.9762416,2.983203878557158
GUY,1979,4992002955.236551,14270953618.873104,28818699423.762302,2.019395493350216
HTI,1979,25175663067.311367,14456828346.330471,32427707826.741947,2.243072066009068
HND,1979,14856993668.660507,25953884373.560226,59562493585.688286,2.2949356145843764
HKG,1979,77832296088.32062,318598258232.253,429591711531.7636,1.3483806029429017
HUN,1979,0.0,157531157312.5219,340947086291.47186,2.164315251078083
ISL,1979,0.0,21556161804.58636,21226927351.27783,0.9847266662640061
IND,1979,863913780204.4459,2961515505727.631,10078991437253.588,3.4033221901964095
IDN,1979,437931986546.9975,1122285145727.062,3418905181206.3936,3.046378359566978
IRN,1979,539874328631.0733,487695221421.96594,1369087388258.7922,2.807260207034557
IRQ,1979,67597151769.62927,192925535194.34384,409320747067.00964,2.121651478922579
IRL,1979,63708996182.10564,498960174855.6298,576526788952.2828,1.1554565233970753
ISR,1979,0.0,408208262853.2228,424288967592.7524,1.0393933837280303
ITA,1979,1582638368318.456,1961616127794.061,2610600572587.215,1.3308417154598797
JAM,1979,16942024015.15535,14806380332.686832,28578744427.1919,1.9301641444466306
JPN,1979,2538407399920.391,4529854841042.583,5234968028228.504,1.1556591131347673
JOR,1979,20969619719.657433,43915711448.703224,107110421278.02966,2.439000024015152
KAZ,1979,0.0,221549683201.72678,512001895734.2957,2.311002608241622
KEN,1979,53824235339.51824,94795844230.47864,263736892044.1069,2.7821566882497426
KIR,1979,180799302.49295866,188123213.8747629,262820717.15726164,1.3970669102656637
KOR,1979,212452575374.0343,1740868427277.0076,2352183466044.378,1.3511552218357843
XKX,1979,0.0,8325010072.51057,22333279563.535656,2.6826729780520995
KWT,1979,0.0,114891599078.73557,210883839333.27853,1.8355026914436032
KGZ,1979,0.0,8250690928.342178,35363790880.56379,4.286161145496876
LAO,1979,0.0,19570649661.62339,59841698222.96143,3.0577267110507127
LVA,1979,0.0,32102385241.814438,62005322543.1101,1.9314864635773568
LSO,1979,1568466069.3372014,2192029732.9105654,5165830253.486556,2.356642419547564
LBR,1979,0.0,3428189417.0464854,7746810704.500462,2.259738235577027
LBY,1979,0.0,55524882597.238106,134861104674.65955,2.428840879374822
LTU,1979,0.0,52484649637.55115,113138833289.70532,2.1556556835383347
LUX,1979,16550455394.54733,71655146215.63705,76900912144.08134,1.073208502187098
MAC,1979,0.0,22581086914.7884,36037605982.22017,1.5959199004995224
MDG,1979,20232945595.553055,13439517645.885014,44491072651.79339,3.3104664783423914
MWI,1979,7160250704.045076,11308596143.984386,29932139511.125328,2.646848391260992
MYS,1979,96773087337.43541,386875259314.18665,963289522396.374,2.48992278313169
MDV,1979,0.0,5780294641.8913555,11141639675.948202,1.9275210635806923
MLI,1979,9729554410.632303,16922029960.686731,48183616801.30887,2.847389876583901
MLT,1979,3639514150.7174215,16134998796.05091,25834318919.971184,1.6011354724299212
MHL,1979,0.0,220602590.75970247,249594524.55063388,1.1314215471862326
MRT,1979,7597205812.996973,7657463958.919219,25244636785.409706,3.296735958646648
MUS,1979,5402351481.311208,13345493636.15359,28837730415.901497,2.160859028682063
MEX,1979,1031124140603.507,1284907941291.862,2582568146909.9355,2.0099246521220735
FSM,1979,0.0,314095835.36817086,372593072.92565346,1.1862400928968524
MDA,1979,0.0,9094802867.29332,33788660920.378643,3.7151614403748368
MNG,1979,0.0,14441951078.837976,41029306870.59268,2.840980879011118
MNE,1979,0.0,4869340027.242338,13645796059.124723,2.802391285632351
MAR,1979,61997541128.836525,125542482435.6025,307442372508.8543,2.448911050222048
MOZ,1979,0.0,19464182832.504753,41237363608.88964,2.118628044328897
