Source,CodeNumeric,Year,CO2 Emission,Code
Coal,126,1860,3792.0,KGZ
Coal,126,1861,4835.0,KGZ
Coal,126,1862,4355.0,KGZ
Coal,126,1863,4519.0,KGZ
Coal,126,1864,5038.0,KGZ
Coal,126,1865,4787.0,KGZ
Coal,126,1866,15485.0,KGZ
Coal,126,1867,17711.0,KGZ
Coal,126,1868,14443.0,KGZ
Coal,126,1869,19805.0,KGZ
Coal,126,1870,21536.0,KGZ
Coal,126,1871,29342.0,KGZ
Coal,126,1872,30090.0,KGZ
Coal,126,1873,27636.0,KGZ
Coal,126,1874,33171.0,KGZ
Coal,126,1875,37453.0,KGZ
Coal,126,1876,45475.0,KGZ
Coal,126,1877,44692.0,KGZ
Coal,126,1878,59034.0,KGZ
Coal,126,1879,58967.0,KGZ
Coal,126,1880,69535.0,KGZ
Coal,126,1881,69900.0,KGZ
Coal,126,1882,73175.0,KGZ
Coal,126,1883,83806.0,KGZ
Coal,126,1884,77690.0,KGZ
Coal,126,1885,80263.0,KGZ
Coal,126,1886,81925.0,KGZ
Coal,126,1887,80116.0,KGZ
Coal,126,1888,81954.0,KGZ
Coal,126,1889,92013.0,KGZ
Coal,126,1890,100409.0,KGZ
Coal,126,1891,103985.0,KGZ
Coal,126,1892,111307.0,KGZ
Coal,126,1893,129778.0,KGZ
Coal,126,1894,140501.0,KGZ
Coal,126,1895,145417.0,KGZ
Coal,126,1896,150524.0,KGZ
Coal,126,1897,175763.0,KGZ
Coal,126,1898,196253.0,KGZ
Coal,126,1899,239228.0,KGZ
Coal,126,1900,266326.0,KGZ
Coal,126,1901,258026.0,KGZ
Coal,126,1902,253010.98,KGZ
Coal,126,1903,260191.0,KGZ
Coal,126,1904,300172.0,KGZ
Coal,126,1905,293352.0,KGZ
Coal,126,1906,334920.0,KGZ
Coal,126,1907,383780.0,KGZ
Coal,126,1908,386831.0,KGZ
Coal,126,1909,406286.0,KGZ
Coal,126,1910,390107.0,KGZ
Coal,126,1911,418883.0,KGZ
Coal,126,1912,491870.0,KGZ
Coal,126,1913,552086.0,KGZ
Coal,126,1914,477915.0,KGZ
Coal,126,1915,411985.0,KGZ
Coal,126,1916,438535.0,KGZ
Coal,126,1917,409424.0,KGZ
Coal,126,1918,159514.0,KGZ
Coal,126,1919,113332.0,KGZ
Coal,126,1920,105936.0,KGZ
Coal,126,1921,122488.0,KGZ
Coal,126,1922,149027.0,KGZ
Coal,126,1923,163227.0,KGZ
Coal,126,1924,208596.0,KGZ
Coal,126,1925,197946.0,KGZ
Coal,126,1926,313697.0,KGZ
Coal,126,1927,395202.0,KGZ
Coal,126,1928,451043.0,KGZ
Coal,126,1929,462601.0,KGZ
Coal,126,1930,543596.0,KGZ
Coal,126,1931,650847.0,KGZ
Coal,126,1932,805830.0,KGZ
Coal,126,1933,945305.0,KGZ
Coal,126,1934,1171065.0,KGZ
Coal,126,1935,1357151.0,KGZ
Coal,126,1936,1579011.0,KGZ
Coal,126,1937,1604839.0,KGZ
Coal,126,1938,1692006.0,KGZ
Coal,126,1939,1716316.0,KGZ
Coal,126,1940,2153506.0,KGZ
Coal,126,1941,1816553.0,KGZ
Coal,126,1942,763625.0,KGZ
Coal,126,1943,881431.0,KGZ
Coal,126,1944,1321781.0,KGZ
Coal,126,1945,1736731.0,KGZ
Coal,126,1946,1937358.0,KGZ
Coal,126,1947,2325152.0,KGZ
Coal,126,1948,2443122.0,KGZ
Coal,126,1949,2761571.0,KGZ
Coal,126,1950,3066912.0,KGZ
Coal,126,1951,3323170.0,KGZ
