Code,Year,ConsumptionTotal,Population,PerCapitaConsumption
ERI,2003,0.0,2653390.4999999995,0.0
ERI,2004,0.0,2763139.5,0.0
ERI,2005,0.0,2831731.9999999995,0.0
ERI,2006,0.0,2880093.0000000005,0.0
ERI,2007,0.0,2926167.499999999,0.0
ERI,2008,0.0,3005779.0,0.0
ERI,2009,0.0,3083888.000000002,0.0
ERI,2010,0.0,3147726.9999999995,0.0
ERI,2011,0.0,3207570.0,0.0
ERI,2012,0.0,3252596.0000000005,0.0
ERI,2013,0.0,3296367.0,0.0
ERI,2014,0.0,3323425.0,0.0
ERI,2015,0.0,3340005.9999999995,0.0
ERI,2016,0.0,3365287.500000002,0.0
ERI,2017,0.0,3396933.0000000005,0.0
ERI,2018,0.0,3445374.5000000005,0.0
ERI,2019,0.0,3498818.0,0.0
ERI,2020,0.0,3555868.0,0.0
ERI,2021,0.0,3620312.0,0.0
ESH,2000,0.0,270374.5000000001,0.0
ESH,2001,0.0,283813.0,0.0
ESH,2002,0.0,297408.5,0.0
ESH,2003,0.0,311178.99999999994,0.0
ESH,2004,0.0,325118.49999999994,0.0
ESH,2005,0.0,339186.5,0.0
ESH,2006,0.0,353658.0,0.0
ESH,2007,0.0,368431.9999999999,0.0
ESH,2008,0.0,383072.5,0.0
ESH,2009,0.0,397906.0,0.0
ESH,2010,0.0,413296.49999999994,0.0
ESH,2011,0.0,429289.0,0.0
ESH,2012,0.0,445947.5,0.0
ESH,2013,0.0,462755.49999999994,0.0
ESH,2014,0.0,478009.0,0.0
ESH,2015,0.0,491823.5,0.0
ESH,2016,0.0,505455.49999999994,0.0
ESH,2017,0.0,518858.4999999998,0.0
ESH,2018,0.0,532003.5,0.0
ESH,2019,0.0,544876.0,0.0
ESH,2020,0.0,556048.0,0.0
ESH,2021,0.0,565581.0000000002,0.0
ESP,1965,337.40661,32112014.49999999,10.50717668304491
ESP,1966,381.80265099999997,32462267.5,11.761428895871182
ESP,1967,411.542196,32814223.5,12.541579598859014
ESP,1968,433.01932361,33157581.0,13.059436501414263
ESP,1969,490.208264,33480511.999999996,14.641599985089835
ESP,1970,528.7605361999999,33792616.99999999,15.647220699124901
ESP,1971,582.20066,34133622.00000001,17.05651571345109
ESP,1972,629.562468,34515169.5,18.24016735597952
ESP,1973,689.237797,34898146.49999999,19.74998291098354
ESP,1974,717.3674279999999,35329897.00000002,20.304826476001317
ESP,1975,736.828973,35760431.000000015,20.604588714269124
ESP,1976,787.318674,36139064.000000015,21.785807014813656
ESP,1977,816.259861,36513082.0,22.355271488722863
ESP,1978,819.629201,36865443.00000001,22.23299475880433
ESP,1979,882.751769,37188964.5,23.736927899673034
ESP,1980,887.0162370000002,37491665.99999999,23.659024301560788
ESP,1981,894.2173720000001,37758648.50000001,23.682451769956753
ESP,1982,893.79997,37982148.999999985,23.53210635870025
ESP,1983,914.973546,38169759.999999985,23.971163193061745
ESP,1984,929.5847,38329925.49999999,24.25219167201356
ESP,1985,922.2828679999999,38471919.99999998,23.97288380720277
ESP,1986,941.69213,38590807.5,24.401980445731798
ESP,1987,976.3617200000001,38694532.5,25.232549844089732
ESP,1988,1019.78525,38781722.0,26.295512355021266
ESP,1989,1068.3876799999998,38847317.99999999,27.502224992726653
ESP,1990,1068.754485,38889889.0,27.481551438729998
ESP,1991,1106.518494,38997063.0,28.3744058879511
ESP,1992,1159.128172,39202250.5,29.56789871030491
ESP,1993,1121.5013099999999,39420545.49999999,28.449664908873473
ESP,1994,1174.69164,39623725.000000015,29.64616880416971
ESP,1995,1219.409871,39814573.000000015,30.62722463455779
ESP,1996,1266.568275,39996472.499999985,31.66699950851917
ESP,1997,1336.4450499999998,40180049.5,33.26140874963331
ESP,1998,1400.882185,40362356.5,34.707641140823874
ESP,1999,1443.70375,40542231.99999999,35.6098734277876
ESP,2000,1527.6369459999999,40741651.49999999,37.49570500351465
ESP,2001,1597.85305,40966449.499999985,39.00394272635222
ESP,2002,1615.074994,41477655.0,38.93843550219992
ESP,2003,1706.86955,42230270.49999999,40.418153371762095
ESP,2004,1769.3298399999996,42959666.0,41.18583789734305
ESP,2005,1781.447144,43685374.00000001,40.779029246722246
