Code,FirstYear,FirstPerCapitaConsumption,LastYear,LastPerCapitaConsumption,TotalGrowth,Period,AvgGrowth
UKR,1985,54.61118586780929,2022,16.30912693773943,-38.30205893006986,37,-1.03519078189378
URY,2000,0.0,2022,0.0,0.0,22,0.0
USA,1965,75.89332726519024,2022,78.7542755087688,2.8609482435785623,57,0.05019207444874671
UZB,1980,0.0,2022,16.929813160161515,16.929813160161515,42,0.40309078952765515
VCT,2000,0.0,2021,0.0,0.0,21,0.0
VEN,1965,19.764867935155955,2022,21.68315000315088,1.9182820679949266,57,0.033654071368332046
VGB,2000,0.0,2021,0.0,0.0,21,0.0
VIR,2000,0.0,2021,0.0,0.0,21,0.0
VNM,1965,0.786176847391842,2022,12.983017095485774,12.196840248093933,57,0.21397965347533215
VUT,2000,0.0,2021,0.0,0.0,21,0.0
WSM,2000,0.0,2021,0.0,0.0,21,0.0
YEM,1980,0.0,2022,0.0,0.0,42,0.0
ZAF,1965,18.461716111798314,2022,22.35089835672792,3.889182244929607,57,0.06823126745490539
ZMB,1995,0.0,2022,0.0,0.0,27,0.0
ZWE,1981,0.0,2022,0.0,0.0,41,0.0
