Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
AUT,1990,Austria,7677850.0,287189683804.62726,268627839331.61957,335.167734
AUT,1991,Austria,7754891.0,288178241826.0333,275753048735.3486,351.513896
AUT,1992,Austria,7840709.0,313512016766.4671,279493398802.39526,345.97115799999995
AUT,1993,Austria,7905633.0,296421903488.37213,279260905813.95355,352.124684
AUT,1994,Austria,7936118.0,309655136054.4218,284789511337.86847,349.96943999999996
AUT,1995,Austria,7948278.0,356132663726.5711,290291361631.75305,367.030752
AUT,1996,Austria,7959017.0,340259397216.2741,293944906852.2484,367.50421299999994
AUT,1997,Austria,7968041.0,298552857142.8571,298405714285.7143,375.26866
AUT,1998,Austria,7976789.0,301698786597.9382,307899598969.0722,381.28301
AUT,1999,Austria,7992324.0,293695436207.76605,316440204740.2925,389.933636
AUT,2000,Austria,8011566.0,257841759024.39023,323503706341.46344,391.42456799999997
AUT,2001,Austria,8042293.0,250916404174.5731,325576452561.66986,405.369339
AUT,2002,Austria,8081957.0,267853760037.34827,330853022408.9636,406.00696800000003
AUT,2003,Austria,8121423.0,320636084018.2649,332713986301.3699,410.253745
AUT,2004,Austria,8171966.0,358798416184.9711,341807583815.02893,417.870355
AUT,2005,Austria,8227829.0,364285172473.1183,348583453763.44086,425.16625000000005
AUT,2006,Austria,8268641.0,375252518333.3334,359926547500.00006,420.731947
AUT,2007,Austria,8295487.0,422350331442.4635,372809501620.7456,411.80672599999997
AUT,2008,Austria,8321496.0,451388759266.48456,371318335544.28406,419.8007600000001
AUT,2009,Austria,8343323.0,420807750195.77136,361332872357.087,406.7749749999999
AUT,2010,Austria,8363404.0,404995920647.1495,366236100154.08325,420.07356999999996
AUT,2011,Austria,8391643.0,431609000000.0,373031000000.0,393.35360699999995
AUT,2012,Austria,8429991.0,401416815953.165,383753578485.1812,414.12356
AUT,2013,Austria,8479823.0,415458913090.51575,392448200504.8684,411.3020929999999
AUT,2014,Austria,8546356.0,420705437189.4961,396340198722.4982,394.828535
AUT,2015,Austria,8642699.0,362516931254.4295,409094392629.3409,395.28474300000005
AUT,2016,Austria,8736668.0,370934401120.056,431400772838.642,408.520221
AUT,2017,Austria,8797566.0,382786051405.072,440000539410.5552,417.62858399999993
AUT,2018,Austria,8840521.0,407654990972.9188,450909481109.99664,407.827752
AUT,2019,Austria,8879920.0,391604714191.8528,457367033508.5414,428.21856
AUT,2020,Austria,8916864.0,372557518987.3418,427210970464.1351,400.320656
AUT,2021,Austria,8955797.0,0.0,0.0,411.86501999999996
AZE,1985,Azerbaijan,6670150.0,0.0,0.0,234.95051100000003
AZE,1986,Azerbaijan,6770300.0,0.0,0.0,252.8344075
AZE,1987,Azerbaijan,6875350.0,0.0,0.0,245.02277750000002
AZE,1988,Azerbaijan,6974600.0,0.0,0.0,245.2043026
AZE,1989,Azerbaijan,7076550.0,0.0,0.0,250.05185260000002
AZE,1990,Azerbaijan,7175200.0,0.0,0.0,260.551228
AZE,1991,Azerbaijan,7271300.0,0.0,0.0,250.3512464
AZE,1992,Azerbaijan,7382050.0,1913086227.5449104,52556150898.2036,214.393813
AZE,1993,Azerbaijan,7494800.0,2038082558.1395352,40171556976.744194,185.980206
AZE,1994,Azerbaijan,7596550.0,3427961451.2471657,32136000000.000004,170.864696
AZE,1995,Azerbaijan,7684850.0,3568206174.2006617,27748449834.619625,160.647995
AZE,1996,Azerbaijan,7763000.0,4554607066.381157,28134769807.28052,131.74071329999998
AZE,1997,Azerbaijan,7838250.0,5553591836.734694,30461374149.659863,126.1546505
AZE,1998,Azerbaijan,7913000.0,5908164948.453609,32166369072.16495,126.64518000000001
AZE,1999,Azerbaijan,7982750.0,6186544629.349471,35560814926.87847,126.096621
AZE,2000,Azerbaijan,8048600.0,6888338536.585366,37357446829.268295,131.6309757
AZE,2001,Azerbaijan,8111200.0,6955431688.804555,39533530360.53131,126.90369199999999
AZE,2002,Azerbaijan,8171950.0,7791454715.219421,43253075630.2521,125.43000169999999
AZE,2003,Azerbaijan,8234100.0,8897318721.461187,47488643835.61644,135.722589
AZE,2004,Azerbaijan,8306500.0,10338104046.242777,51882231213.87284,153.89792544399998
AZE,2005,Azerbaijan,8391850.0,15288212473.11828,66219741075.26882,166.83738560999998
AZE,2006,Azerbaijan,8484550.0,23462627500.000004,88870545833.33334,164.09156761
AZE,2007,Azerbaijan,8581300.0,35905599675.85089,111340996758.50893,148.44635933
AZE,2008,Azerbaijan,8763400.0,51176653140.85056,120875704252.82872,192.835475
AZE,2009,Azerbaijan,8947243.0,46439288175.411125,133678755677.36884,175.4223746
AZE,2010,Azerbaijan,9054332.0,54584365947.61172,139420022342.06473,130.84804199999996
AZE,2011,Azerbaijan,9173082.0,65989999999.99999,135804000000.0,145.36578983
AZE,2012,Azerbaijan,9295784.0,68284590559.82437,145354745700.69522,192.5688414
AZE,2013,Azerbaijan,9416801.0,71619358095.925,156319679047.9625,153.798313833
AZE,2014,Azerbaijan,9535079.0,71502029808.37474,158065671398.15472,156.67294370000002
AZE,2015,Azerbaijan,9649341.0,48249550673.28136,136790569808.64636,171.32794573299998
AZE,2016,Azerbaijan,9757812.0,35459831991.59959,131444151207.5604,169.734956333
AZE,2017,Azerbaijan,9854033.0,37971984235.77793,127707928032.89925,166.47979833300002
AZE,2018,Azerbaijan,9939771.0,42182752925.44299,129496655299.23102,171.30092366639997
AZE,2019,Azerbaijan,10024283.0,42270875164.25755,132386806833.11432,180.655684267
AZE,2020,Azerbaijan,10093121.0,37033932489.45148,126703037974.68356,177.38436463300002
AZE,2021,Azerbaijan,10137750.0,0.0,0.0,183.24663726699998
